EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
60855000;1;01/01/2019;1;1;"102,885";"32,831";"53,137";1;25;1;1;1;;0;"102,885";"78,52";"70,284";"63,549";"55,04";"58,167";"49,998";"49,016";"49,998";"49,016";"46,12";"46,12";"56,074";"69,141";"95,533";"56,074";"48,528";"45,173";"45,173";"41,469";"41,469";"38,784";"37,039";"34,487";"32,831";"77,318";"54,014";"44,234";"39,67";"37,039";"34,487";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/12/2018;1;1;"124,893";"35,329";"67,16";3;20;1;1;1;;0;"73,179";"109,08";"124,893";"114,008";"94,222";"77,918";"65,205";"59,759";"54,526";"48,042";"46,12";"44,234";"44,234";"42,382";"40,565";"38,784";"38,784";"38,345";"36,179";"35,329";"35,753";"58,696";"52,997";"100,184";"87,157";"64,651";"73,764";"121,216";"114,008";"79,729";"68,006";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/11/2018;1;1;"261,286";"30,415";"91,492";26;1;1;1;1;;0;"30,415";"66,319";"63,549";"46,598";"94,877";"69,712";"52,492";"72,596";"86,527";"86,527";"80,337";"65,761";"55,04";"44,702";"41,016";"40,565";"41,016";"55,556";"80,337";"204,642";"143,217";"130,122";"109,778";"137,758";"162,644";"261,286";"131,634";"121,216";"93,57";"74,941";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
60855000;1;01/10/2018;1;1;"49,998";"9,149";"23,966";26;6;1;1;1;;0;"10,294";"10,294";"10,294";"9,903";"9,334";"9,149";"9,521";"11,959";"12,401";"13,55";"14,272";"15,018";"15,272";"15,272";"16,316";"16,584";"38,345";"31,613";"49,506";"43,303";"34,907";"26,945";"27,322";"37,472";"35,329";"49,998";"47,558";"35,753";"30,415";"28,465";"26,572";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/09/2018;1;1;"20,637";"9,521";"13,403";21;13;1;1;1;;0;"13,083";"12,625";"12,401";"11,959";"11,528";"11,528";"11,107";"10,696";"10,696";"10,696";"10,494";"10,097";"9,521";"9,521";"10,494";"11,107";"18,83";"18,539";"20,023";"20,328";"20,637";"18,251";"17,684";"16,051";"15,272";"13,788";"12,625";"11,528";"10,696";"10,294";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/08/2018;1;1;"14,766";"12,401";"13,078";27;5;1;1;1;;0;"12,853";"12,853";"12,853";"12,625";"12,401";"12,401";"12,401";"12,625";"12,853";"12,853";"12,853";"12,853";"12,853";"12,853";"12,853";"12,853";"13,083";"13,083";"13,083";"12,853";"12,625";"12,401";"12,401";"13,315";"13,55";"14,518";"14,766";"14,518";"14,272";"13,788";"13,315";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/07/2018;1;1;"19,124";"13,315";"16,492";1;31;1;1;1;;0;"19,124";"18,539";"18,539";"18,539";"17,966";"17,966";"17,404";"17,404";"17,404";"17,404";"17,404";"17,404";"17,404";"17,404";"16,854";"16,854";"16,854";"16,584";"16,584";"16,051";"15,788";"15,529";"15,529";"15,018";"15,018";"14,518";"14,518";"14,272";"14,272";"13,788";"13,315";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/06/2018;1;1;"39,67";"27,322";"30,833";21;15;1;1;1;;0;"33,655";"32,831";"32,017";"31,211";"31,211";"30,415";"30,415";"30,415";"30,415";"28,081";"29,238";"28,081";"27,7";"27,7";"27,322";"27,322";"27,322";"27,322";"30,415";"37,039";"39,67";"38,345";"35,753";"33,242";"31,613";"30,812";"30,02";"28,85";"28,465";"28,081";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/05/2018;1;1;"39,226";"27,322";"30,981";22;15;1;1;1;;0;"33,655";"32,831";"32,017";"31,211";"31,211";"30,415";"30,415";"30,415";"30,415";"30,02";"29,238";"28,081";"28,081";"28,081";"27,322";"27,322";"27,322";"27,322";"27,322";"35,329";"38,345";"39,226";"38,345";"35,753";"33,242";"31,613";"30,812";"30,02";"28,85";"28,85";"27,322";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/04/2018;1;1;"68,006";"34,487";"46,104";3;30;1;1;1;;0;"44,234";"58,167";"68,006";"58,167";"57,116";"50,989";"47,077";"46,12";"48,042";"45,173";"43,303";"40,565";"38,784";"39,226";"41,016";"67,441";"59,227";"52,492";"51,488";"46,598";"43,303";"41,016";"39,67";"38,784";"37,472";"37,039";"36,608";"36,179";"35,329";"34,487";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/03/2018;1;1;"102,885";"41,924";"60,722";1;31;1;1;1;;0;"102,885";"83,406";"83,406";"74,941";"65,761";"57,641";"56,594";"57,116";"63,549";"65,761";"71,436";"76,126";"77,318";"68,006";"57,116";"50,989";"49,016";"68,006";"56,074";"49,016";"48,042";"48,042";"58,167";"56,074";"50,989";"51,488";"55,04";"49,016";"46,12";"43,303";"41,924";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/02/2018;1;1;"133,154";"61,371";"81,835";9;17;1;1;1;;0;"100,184";"105,618";"92,92";"85,899";"92,92";"88,423";"77,318";"78,52";"133,154";"121,216";"90,98";"80,947";"81,559";"73,179";"68,006";"63,549";"61,371";"63,549";"83,406";"77,318";"72,596";"65,761";"66,319";"66,879";"76,126";"74,941";"72,596";"76,126";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
60855000;1;01/01/2018;1;1;"817,089";"74,941";"334,532";9;28;1;1;1;;0;"388,45";"391,171";"327,755";"356,329";"332,887";"402,121";"623,066";"732,156";"817,089";"752,651";"570,889";"435,605";"369,594";"322,651";"302,519";"290,171";"273,192";"261,286";"249,57";"240,334";"226,712";"218,897";"215,577";"211,179";"220,008";"268,407";"92,271";"74,941";"76,721";"182,282";"144,005";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/12/2017;1;1;"121,216";"37,907";"57,465";7;25;1;1;1;;0;"60,294";"52,997";"56,074";"76,126";"105,618";"115,434";"121,216";"84,648";"70,859";"65,205";"51,989";"45,173";"43,303";"41,469";"48,528";"45,646";"42,382";"59,227";"46,12";"42,382";"38,345";"46,598";"43,303";"42,842";"37,907";"46,598";"38,784";"38,784";"47,077";"55,04";"71,436";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/11/2017;1;1;"63,549";"12,179";"34,572";21;10;1;1;1;;0;"34,487";"26,572";"23,663";"24,019";"22,96";"20,949";"17,404";"15,529";"14,029";"12,179";"13,315";"15,788";"16,051";"17,966";"37,039";"36,608";"41,469";"48,042";"49,016";"55,04";"63,549";"52,997";"43,303";"40,565";"39,226";"45,173";"43,303";"55,556";"61,371";"49,998";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/10/2017;1;1;"15,272";"8,26";"11,324";22;31;1;1;1;;0;"10,696";"11,107";"11,528";"11,959";"12,179";"13,083";"10,9";"8,787";"10,294";"10,294";"12,179";"11,959";"10,294";"12,853";"12,853";"12,853";"12,853";"12,853";"12,853";"11,316";"11,959";"15,272";"12,401";"10,294";"11,107";"10,294";"10,294";"9,521";"9,149";"8,787";"8,26";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/09/2017;1;1;"11,959";"8,09";"10,133";1;29;1;1;1;;0;"11,959";"11,959";"11,959";"11,959";"11,742";"11,528";"11,316";"10,696";"10,294";"10,294";"10,294";"10,294";"10,294";"10,294";"9,903";"9,521";"9,521";"9,521";"9,521";"9,521";"9,521";"9,521";"9,521";"9,521";"9,711";"9,521";"8,787";"8,609";"8,09";"8,787";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/08/2017;1;1;"16,854";"11,528";"14,769";1;31;1;1;1;;0;"16,854";"16,854";"16,854";"16,854";"16,854";"16,854";"16,854";"16,316";"14,766";"14,766";"14,766";"14,766";"14,518";"14,766";"14,766";"14,766";"14,766";"14,766";"14,766";"14,766";"14,766";"14,766";"14,766";"14,272";"13,788";"12,853";"12,853";"12,853";"12,401";"11,742";"11,528";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/07/2017;1;1;"26,945";"15,788";"19,621";1;28;1;1;1;;0;"26,945";"26,2";"25,83";"24,736";"24,376";"23,31";"22,96";"21,922";"21,263";"20,328";"20,328";"19,124";"19,124";"18,83";"17,966";"17,966";"17,966";"17,966";"17,966";"17,966";"17,684";"17,128";"16,854";"16,854";"16,854";"16,854";"16,584";"15,788";"16,854";"16,854";"16,854";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/06/2017;1;1;"35,329";"25,83";"29,883";1;27;1;1;1;;0;"35,329";"35,329";"35,329";"34,487";"33,655";"33,655";"32,423";"32,017";"31,613";"30,812";"30,415";"30,415";"28,85";"28,85";"28,85";"28,465";"29,238";"28,081";"27,322";"27,322";"27,7";"28,081";"29,238";"27,322";"27,322";"26,945";"25,83";"26,945";"27,322";"27,322";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/05/2017;1;1;"69,141";"34,907";"46,184";16;14;1;1;1;;0;"44,234";"42,382";"41,924";"40,565";"37,907";"66,879";"50,493";"42,382";"40,565";"38,784";"37,039";"36,608";"35,753";"34,907";"36,179";"69,141";"66,319";"59,759";"56,594";"56,074";"52,997";"52,492";"50,493";"50,989";"49,998";"47,077";"41,469";"40,565";"38,345";"37,039";"35,753";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/04/2017;1;1;"83,406";"40,565";"49,95";21;13;1;1;1;;0;"49,998";"48,042";"45,646";"44,234";"43,768";"42,382";"41,469";"44,702";"48,042";"49,506";"46,598";"44,234";"40,565";"65,761";"54,526";"48,042";"45,646";"43,303";"41,924";"40,565";"83,406";"64,651";"51,989";"46,598";"41,469";"42,382";"69,712";"64,651";"57,116";"47,558";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/03/2017;1;1;"147,971";"46,12";"69,86";27;18;1;1;1;;0;"104,248";"93,57";"77,318";"71,436";"100,184";"89,698";"70,284";"62,456";"58,167";"50,989";"62,456";"49,998";"52,997";"61,912";"60,294";"57,116";"49,998";"46,12";"72,596";"77,318";"74,941";"63,549";"58,167";"49,998";"48,042";"61,371";"147,971";"100,184";"73,764";"62,456";"56,074";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/02/2017;1;1;"115,434";"40,565";"65,755";27;22;1;1;1;;0;"71,436";"65,761";"89,698";"102,885";"98,845";"82,173";"74,351";"77,318";"72,596";"65,761";"60,294";"56,074";"51,989";"49,016";"47,077";"45,646";"43,303";"46,12";"48,528";"46,12";"43,303";"40,565";"40,565";"48,528";"46,12";"96,191";"115,434";"115,434";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
60855000;1;01/01/2017;1;1;"297,558";"38,784";"82,534";27;1;1;1;1;;0;"38,784";"40,565";"40,565";"40,565";"44,234";"51,989";"51,989";"51,989";"43,303";"45,173";"48,042";"46,598";"60,294";"60,294";"96,191";"83,406";"100,184";"96,191";"102,885";"106,997";"110,478";"100,184";"96,191";"92,271";"85,272";"118,309";"297,558";"161,813";"90,98";"79,123";"76,126";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/12/2016;1;1;"104,248";"15,788";"58,069";16;1;1;1;1;;0;"15,788";"17,404";"65,205";"56,074";"46,12";"29,238";"15,788";"69,712";"69,712";"69,141";"62,456";"56,594";"62,456";"63,549";"82,173";"104,248";"92,271";"82,788";"72,596";"68,006";"68,006";"78,52";"83,406";"60,832";"49,016";"44,234";"42,382";"40,565";"40,565";"47,077";"44,234";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/10/2016;1;1;"24,376";"8,787";"17,535";5;2;1;1;1;;0;"9,521";"8,787";"10,294";"22,266";"24,376";"22,96";"20,949";"19,124";"19,124";"19,124";"20,328";"20,328";"17,966";"17,966";"17,966";"17,684";"17,684";"17,684";"16,051";"17,684";"17,966";"19,72";"18,539";"17,966";"17,966";"17,966";"17,404";"16,051";"15,272";"13,788";"13,083";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/09/2016;1;1;"15,788";"9,903";"12,156";1;27;1;1;1;;0;"15,788";"15,529";"15,272";"15,272";"15,529";"14,029";"13,788";"13,55";"13,315";"13,083";"12,853";"12,853";"12,401";"12,179";"11,742";"11,316";"11,107";"10,9";"11,107";"10,9";"10,696";"10,696";"10,294";"10,294";"10,294";"10,294";"9,903";"9,903";"9,903";"9,903";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/08/2016;1;1;"22,96";"15,018";"17,478";23;20;1;1;1;;0;"19,124";"18,83";"18,251";"17,684";"17,404";"16,854";"16,854";"16,854";"16,316";"16,316";"16,316";"16,051";"15,788";"15,529";"15,272";"15,272";"15,272";"15,272";"15,272";"15,018";"16,854";"20,328";"22,96";"22,266";"21,581";"20,637";"20,949";"17,128";"16,584";"17,966";"15,018";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/07/2016;1;1;"27,322";"19,124";"22,465";1;29;1;1;1;;0;"27,322";"26,572";"25,83";"25,83";"25,83";"25,83";"25,099";"24,376";"24,376";"24,376";"24,376";"24,376";"22,96";"22,266";"21,581";"21,581";"21,581";"21,581";"20,949";"20,328";"20,328";"20,328";"20,328";"20,328";"20,328";"20,328";"20,328";"19,72";"19,124";"19,124";"19,124";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/06/2016;1;1;"58,167";"27,322";"36,354";4;30;1;1;1;;0;"35,329";"38,784";"44,234";"58,167";"54,014";"49,016";"45,173";"44,234";"43,303";"42,382";"39,67";"37,907";"36,179";"34,487";"33,655";"32,831";"32,017";"32,017";"32,017";"30,415";"30,415";"30,415";"30,415";"30,415";"30,415";"28,85";"28,85";"28,85";"28,85";"27,322";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/05/2016;1;1;"44,234";"30,415";"34,954";22;10;1;1;1;;0;"35,329";"35,329";"35,329";"34,487";"32,831";"32,017";"32,017";"32,017";"31,211";"30,415";"30,415";"30,415";"36,179";"33,655";"33,655";"36,179";"33,655";"33,655";"33,655";"36,179";"40,565";"44,234";"39,67";"38,784";"38,784";"37,039";"35,329";"32,831";"34,487";"37,039";"36,179";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/04/2016;1;1;"79,729";"33,655";"44,331";1;28;1;1;1;;0;"79,729";"71,436";"66,879";"62,456";"63,549";"51,989";"42,382";"42,382";"43,303";"46,12";"47,077";"42,382";"42,382";"42,382";"41,469";"40,565";"40,565";"39,67";"37,907";"37,039";"36,179";"35,329";"35,329";"35,329";"34,487";"34,487";"35,329";"33,655";"34,487";"33,655";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/03/2016;1;1;"369,594";"217,788";"272,342";8;25;1;1;1;;0;"270,796";"242,631";"268,407";"254,234";"315,048";"295,089";"312,528";"369,594";"325,199";"290,171";"280,424";"268,407";"280,424";"292,626";"290,171";"278,006";"278,006";"268,407";"261,286";"247,249";"238,044";"226,712";"222,235";"220,008";"217,788";"290,171";"242,631";"295,089";"295,089";"251,898";"254,234";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60855000;1;01/02/2016;1;1;"399,373";"226,712";"269,757";10;28;1;1;1;;0;"261,286";"249,57";"300,035";"302,519";"295,089";"249,57";"263,652";"275,595";"383,029";"399,373";"343,236";"270,796";"249,57";"238,044";"235,762";"231,222";"235,762";"247,249";"244,936";"238,044";"244,936";"238,044";"261,286";"261,286";"270,796";"270,796";"251,898";"226,712";"282,85";;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
60855000;1;01/01/2016;1;1;"865,281";"49,998";"266,622";18;2;2;2;2;0;0;"68,006";"49,998";"90,98";"94,877";"96,191";"127,123";"115,434";"105,618";"77,318";"85,899";"73,764";"182,282";"249,57";"307,509";"322,651";"391,171";"388,45";"865,281";"685,118";"487,578";"421,538";"418,745";"325,199";"317,575";"280,424";"275,595";"261,286";"263,652";"280,424";"280,424";"275,595";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
